col1,name,RA_1,Dec_1,Source_Name,RA_2,E_RA,E_RA_tot,DEC_2,E_DEC,E_DEC_tot,Peak_flux,E_Peak_flux,E_Peak_flux_tot,Total_flux,E_Total_flux,E_Total_flux_tot,Maj,E_Maj,Min,E_Min,DC_Maj,E_DC_Maj,DC_Min,E_DC_Min,PA,E_PA,DC_PA,E_DC_PA,Isl_rms,S_Code,Mosaic_ID,Isl_id,Separation
2226,115729.71+495940.3,179.373821,49.994545,ILTJ115729.76+495940.4,179.3739862882354,0.1554838954537916,0.18766161031626533,49.994556378169364,0.12532753254866258,0.16355007996251272,1.0583407202096922,0.056382570068170594,0.2190488470858748,1.1186797857400541,0.09606663120058456,0.2434883491076435,6.519171321440389,0.3664687741339956,5.837138849581245,0.29470952146008084,0.0,0.3664687741339956,0.0,0.29470952146008084,94.4622005622461,20.97818654345534,0.0,20.97818654345534,0.0557658240722958,S,P18Hetdex03,2761,0.38471302818030634
2227,115757.24+505442.4,179.488501,50.911799,ILTJ115757.28+505442.5,179.488653786267,0.13055258188712837,0.16758763342921096,50.911827276596235,0.0805431007373467,0.13239648529094195,1.3151417040336177,0.05442103951759105,0.2685992509477886,1.2431067938861935,0.09704591374085983,0.2668904071225469,6.573184257310256,0.3075674032022002,5.177985624150256,0.1894893953446584,0.0,0.3075674032022002,0.0,0.1894893953446584,92.12975679708912,8.251001291112553,0.0,8.251001291112553,0.05581728328252211,S,P18Hetdex03,2569,0.36143417498988223
2230,121420.28+484743.5,183.584513,48.795432,ILTJ121420.27+484743.6,183.58447903326,0.16883666283896298,0.20922168737235003,48.79545967259388,0.14231482826487815,0.1884712341244612,1.2822969201122711,0.07385707620118447,0.266882527262772,1.4043454951273449,0.12448143380548257,0.30721829071467643,6.707383720670202,0.41150810786907427,5.878949180644162,0.31789338125685707,2.99813311392139,0.41150810786907427,0.0,0.31789338125685707,114.23991384394839,19.2053809716039,114.23991384395048,19.2053809716039,0.07254508818732575,S,P22Hetdex04,2638,0.1281133917143268
2232,122712.50+491031.3,186.80212,49.175368,ILTJ122712.50+491031.4,186.80207549449008,0.10873384155866633,0.15004271057054294,49.17539324361961,0.10784025201497775,0.14939640775435156,1.1586999227394503,0.0507466012408727,0.23723119098414627,1.0838436777999738,0.08994889775792256,0.23469019775896938,5.970060061958851,0.26921469008800486,5.640938774024766,0.23994035548962317,0.0,0.26921469008800486,0.0,0.23994035548962317,132.47176752732724,31.72172401408599,0.0,31.72172401408599,0.0516751897521317,S,P26Hetdex03,4628,0.13867134034516804
2233,122224.80+510726.1,185.603368,51.123944,ILTJ122224.77+510726.4,185.60321195646011,0.07522907412870933,0.11526794055538932,51.12402637480461,0.07918460334609312,0.11788759872308888,2.490884470400889,0.0656370498403442,0.5024822784010562,3.1993387327020772,0.1051682699604768,0.6484528495343276,7.258106589262475,0.20250338124974107,6.371684480983999,0.15857556037242565,4.0835584426721985,0.20250338124974107,2.142819058214029,0.15857556037242565,141.39839373026962,9.039346588041594,141.398393730272,9.039346588041594,0.06257787754293531,S,P25Hetdex09,3386,0.46071004444328006
2234,122223.54+503115.4,185.5981,50.520967,ILTJ122223.56+503115.6,185.59817050886903,0.04338818924627155,0.11212627551702965,50.5210199524634,0.04870211979879467,0.11428763348738442,4.702908102032538,0.08420546159632501,0.9443433403212954,4.773254347883985,0.14521000177196183,0.9656315174010986,6.2235317866215665,0.11470132491849268,5.872758349099285,0.10215465193651846,0.0,0.11470132491849268,0.0,0.10215465193651846,177.9956821848089,11.44728442323592,0.0,11.44728442323592,0.08395010809181258,S,P26Hetdex03,6436,0.24976898011446716
2388,111342.91+541232.3,168.428832,54.208998,ILTJ111342.93+541232.4,168.4288836293974,0.052233508546017486,0.1112319475968759,54.209016925352884,0.046884514507109995,0.10882262839931164,3.685160872913383,0.0675082536047608,0.7401174168163008,4.140802490591,0.11260939384453689,0.8357814823417777,6.5445004919616165,0.12315749892222035,6.18131773793493,0.11022942853445704,2.6132746429203397,0.12315749892222035,1.4850904518034258,0.11022942853445704,82.96868727163248,12.82897595416135,82.96868727163103,12.82897595416135,0.06577647582162172,S,P169+55,5484,0.12828697417833268
2389,112420.61+551055.2,171.08588400000002,55.182005000000004,ILTJ112420.60+551055.3,171.08582311278482,0.014365047283918199,0.0992499941291508,55.182051265518226,0.0126902129041484,0.09902145350740857,15.586815999675963,0.07869351421971983,3.118356296110249,17.14232127874958,0.13220631849980055,3.431012338014263,6.514268505735279,0.033983768219889215,6.079232341827341,0.029703383409231905,2.534678562721116,0.033983768219889215,0.9755192335602985,0.029703383409231905,80.13820155974325,4.688268577798549,80.13820155974113,4.688268577798549,0.07704325253143907,S,P169+55,1510,0.2083368343910069
2392,115259.84+544320.5,178.249345,54.722378000000006,ILTJ115259.82+544320.6,178.24923859423268,0.2843185618426991,0.30863478120163024,54.72240974946274,0.23486628237380555,0.2637812619485501,0.6734511928715711,0.06746033606236373,0.1506398264366125,0.6696807835829179,0.11754709296410794,0.17820273045136506,6.471144121123511,0.7012413126211214,5.532020796259207,0.5122501921493957,0.0,0.7012413126211214,0.0,0.5122501921493957,115.94665426193025,28.006481535994308,0.0,28.006481535994308,0.0678673095535487,S,P178+55,3004,0.24901367727923115
2395,115104.46+554048.3,177.768597,55.680102000000005,ILTJ115104.49+554048.7,177.76868763856837,0.30715187793194476,0.3297888107201301,55.6802029875822,0.2319131847478021,0.2611553346553458,0.7235463024167962,0.0781319964866064,0.16445479301201224,0.6786647891409279,0.13879707593603446,0.1941341395251781,6.243810963571495,0.726212544968555,5.4087940072682095,0.5422650689499883,0.0,0.726212544968555,0.0,0.5422650689499883,97.3738673752388,32.264335723408365,0.0,32.264335723408365,0.0797616012278013,S,P178+55,3697,0.40745291623720653
2401,122438.41+552514.5,186.160049,55.42070699999999,ILTJ122438.42+552514.5,186.16009255771468,0.18546734318007652,0.20501151731640688,55.420711310154914,0.17361735684088475,0.1943568199022464,0.8684595828745485,0.06527108550672707,0.18555106166953578,0.7624670309737275,0.11819961160333317,0.19293881702771595,5.71363983410538,0.43685586522013825,5.532278484204254,0.40871555864420606,0.0,0.43685586522013825,0.0,0.40871555864420606,85.55067580580884,95.05367683547306,0.0,95.05367683547306,0.06765750731574371,S,P187+55,5291,0.09033819808873575
2403,123409.83+544926.6,188.54099399999998,54.824070999999996,ILTJ123409.87+544926.9,188.541129490777,0.13086896922128316,0.1573476213710912,54.82414113210805,0.17729151883665065,0.19764581831525194,1.1561822123095502,0.06513822743299823,0.24023588615265878,1.3005884387441797,0.10895050707382588,0.28201316364922524,6.886358468560333,0.4179001923358151,5.881315287382203,0.3076173473273989,0.0,0.4179001923358151,0.0,0.3076173473273989,4.75039853612094,16.8608117165847,0.0,16.8608117165847,0.06370966002577916,S,P187+55,1680,0.37776069105291554
2406,123457.60+551758.8,188.740004,55.29969200000001,ILTJ123457.50+551759.2,188.73959086294488,0.5781686323796268,0.5847311812395737,55.299788033371286,0.5383375109433126,0.5453795582296245,0.4218590764613137,0.07301470697335907,0.11157845065296969,0.590685060302663,0.11476630071788248,0.1647047582769176,8.212382146764755,1.6044672868217373,6.139022996084419,0.9412899903710289,5.60633780428968,1.6044672868217373,1.298837775478255,0.9412899903710289,132.18132109691973,29.544503994527016,132.1813210969207,29.544503994527016,0.0696178394719027,S,P187+55,1457,0.9145536857309979
2409,125428.20+543230.2,193.617518,54.541743000000004,ILTJ125428.20+543230.0,193.61748056569743,0.23381629765477455,0.2627092505731688,54.541683387947195,0.1469644318606387,0.18959069998248906,0.7670529852205391,0.054316556389824466,0.16274243326028587,0.8089697583655088,0.0932382124047106,0.18673683902868207,6.9347925074730155,0.550733304418773,5.476147154692613,0.3457649556655717,0.0,0.550733304418773,0.0,0.3457649556655717,90.35725682272185,15.276077911442606,0.0,15.276077911442606,0.05418827277026139,S,P191+55,870,0.22839956600538136
2411,124308.22+542128.4,190.784271,54.357896,ILTJ124308.24+542128.1,190.78433773171804,0.11048405324852212,0.16295034614861095,54.35782762785943,0.10512215853257582,0.1593636015603245,1.3431134950267933,0.05897858097618092,0.2750211399781614,1.245987192914434,0.10478642828922898,0.2703323120714306,5.851172937321342,0.2602505609238896,5.708055954023055,0.24745868139870175,0.0,0.2602505609238896,0.0,0.24745868139870175,94.06197138981688,72.09097404880112,0.0,72.09097404880112,0.06016620682203211,S,P191+55,5183,0.28316391601554447
2414,125425.52+554918.8,193.60636,55.821915000000004,ILTJ125425.54+554919.3,193.60642198853566,0.025510839427163402,0.12246179900690815,55.822043536413915,0.026769528568750194,0.1227301794487525,7.246883187860702,0.06823261316381034,1.4509818493141415,8.587601952109807,0.11188020287950971,1.7211605013221651,6.644080802998317,0.06354387437195641,6.423085759600874,0.059536929197897055,2.8531964851402365,0.06354387437195641,2.2876464821273723,0.059536929197897055,22.822184109717412,13.088208410580377,22.822184109710616,13.088208410580377,0.0657656928524375,S,P191+55,952,0.479412080982002
2415,130350.93+534839.5,195.962214,53.810978000000006,ILTJ130350.92+534839.4,195.96217745374173,0.09680687155877965,0.13716852699079182,53.810957375518164,0.09997256021028103,0.13942075602586507,2.057129078550149,0.07962680732691177,0.4190604136371516,2.046024212236814,0.1381751223005705,0.4319038868835851,6.041037485359862,0.23600852553094484,5.928049236111354,0.22734801051846093,0.0,0.23600852553094484,0.0,0.22734801051846093,15.674115404741343,84.3458091026432,0.0,84.3458091026432,0.07974032632773742,S,P196+55,4344,0.1074594310464377
2416,130349.63+550301.1,195.95683,55.050315000000005,ILTJ130349.69+550301.1,195.95703197064822,0.12697732570239334,0.1598964529261272,55.05033193311794,0.10952010055085062,0.1464181916310059,1.4023263492686382,0.06149446140479547,0.28712773529840363,1.5602698631986684,0.10294941667975586,0.32859741970219686,6.586991927816068,0.29999381497230365,6.080913924729857,0.2567541676967067,2.718171546935299,0.29999381497230365,0.9884563656497537,0.2567541676967067,98.91918642362131,23.07352577315002,98.91918642362273,23.07352577315002,0.060075071814935654,S,P196+55,4350,0.420958052492373
2418,131501.14+533314.1,198.754781,53.553927,ILTJ131501.15+533315.1,198.7548091594608,0.6934221760599506,0.7048030302605297,53.55419762828032,0.5372296999612544,0.5518412341726263,0.4050767343791753,0.05704256393938069,0.09908249356061953,0.6535971443001661,0.08876060844804787,0.1580063754839056,10.772383424241196,1.9823853551411625,5.394019680671784,0.5812456545439668,8.945854325314016,1.9823853551411625,0.0,0.5812456545439668,126.95202151235522,12.251248551063052,126.95202151235554,12.251248551063052,0.057401393860345706,S,P37Hetdex15,2858,0.9761213265777844
2419,131346.72+533148.4,198.444705,53.530124,ILTJ131346.70+533148.7,198.44456590237678,0.31590435935086103,0.3401596117554023,53.53020739158345,0.2567929233471771,0.28610418153864386,0.656415783693642,0.06411587464995419,0.14610308903446964,0.8587880054544053,0.10210456212060823,0.19981495223915394,7.262487927719419,0.7451034367412233,6.487236164275112,0.6032560590076919,4.091710780671549,0.7451034367412233,2.4623906072508928,0.6032560590076919,95.66360517769483,37.55631390623711,95.66360517769533,37.55631390623711,0.06090811439207755,S,P37Hetdex15,3435,0.42275198714184387
2420,131320.64+534437.2,198.33603100000002,53.743689,ILTJ131320.59+534438.0,198.3357831380854,0.9741291527559754,0.982263001167092,53.743895739490945,1.0663522999225437,1.0737877931708883,0.22544657741662535,0.06532763856303084,0.07937724315555947,0.3976631332213837,0.09580109179814297,0.12451219976634473,8.971021497310733,2.8314100554009882,7.081232132933745,1.8838858278500634,6.667681470088384,2.8314100554009882,3.7597637213452217,1.8838858278500634,141.97927175509517,57.472317916462075,141.97927175509614,57.472317916462075,0.06075136479921639,S,P37Hetdex15,8700,0.9123590442660118
